,dong,Latitude,Longitude,fuel,num
0,금천구 시흥4동,37.4595713,126.9085718,hybrid,248
0,금천구 시흥5동,37.4499367,126.9072019,hybrid,201
0,영등포구 영등포본동,37.5133944,126.9087206,hybrid,302
0,영등포구 영등포동,37.5137832,126.9069186,hybrid,592
0,영등포구 여의동,37.5258796,126.9269198,hybrid,1300
0,영등포구 당산1동,37.5249503,126.8973399,hybrid,371
0,영등포구 당산2동,37.5310368,126.8974759,hybrid,843
0,영등포구 도림동,37.5095782,126.9017319,hybrid,257
0,영등포구 문래동,37.516637,126.891505,hybrid,831
0,영등포구 양평1동,37.5247784,126.8877006,hybrid,461
0,영등포구 양평2동,37.5363881,126.8940365,hybrid,605
0,영등포구 신길1동,37.5112627,126.9180603,hybrid,207
0,영등포구 신길3동,37.5063744,126.9062327,hybrid,260
0,영등포구 신길4동,37.5144018,126.9226321,hybrid,198
0,영등포구 신길5동,37.5016093,126.9052605,hybrid,154
0,영등포구 신길6동,37.5148885,126.9215624,hybrid,259
0,영등포구 신길7동,37.5063467,126.921449,hybrid,483
0,영등포구 대림1동,37.4915426,126.8998126,hybrid,213
0,영등포구 대림2동,37.4954266,126.9001326,hybrid,158
0,영등포구 대림3동,37.4954266,126.9001326,hybrid,320
0,동작구 노량진1동,37.5078229,126.947221,hybrid,535
0,동작구 노량진2동,37.5080413,126.9390861,hybrid,120
0,동작구 상도1동,37.5032626,126.9506566,hybrid,905
0,동작구 상도2동,37.5062428,126.9409346,hybrid,588
0,동작구 상도3동,37.49907,126.9313649,hybrid,249
0,동작구 상도4동,37.4987343,126.9440592,hybrid,313
0,동작구 흑석동,37.5055033,126.962349,hybrid,642
0,동작구 사당1동,37.4798074,126.9772568,hybrid,257
0,동작구 사당2동,37.4798074,126.9772568,hybrid,584
0,동작구 사당3동,37.4899885,126.9708057,hybrid,461
0,동작구 사당4동,37.4809275,126.9715979,hybrid,164
0,동작구 사당5동,,,hybrid,253
0,동작구 대방동,37.5060736,126.9281015,hybrid,557
0,동작구 신대방1동,37.4896292,126.9097179,hybrid,404
0,동작구 신대방2동,37.4984106,126.9245329,hybrid,349
0,관악구 보라매동,37.4902606,126.9323271,hybrid,287
0,관악구 청림동,37.4892764,126.9590257,hybrid,291
0,관악구 성현동,37.4893309,126.951059,hybrid,467
0,관악구 행운동,37.4810602,126.9608566,hybrid,338
0,관악구 낙성대동,37.4741601,126.9581815,hybrid,209
0,관악구 청룡동,37.478819,126.9454901,hybrid,437
0,관악구 은천동,37.4865145,126.941524,hybrid,443
0,관악구 중앙동,37.483979,126.9505182,hybrid,133
0,관악구 인헌동,37.4725495,126.9662287,hybrid,304
0,관악구 남현동,37.4641016,126.9777609,hybrid,285
0,관악구 서원동,37.480314,126.9333544,hybrid,188
0,관악구 신원동,37.4796847,126.9268568,hybrid,141
0,관악구 서림동,37.4736271,126.9388285,hybrid,208
0,관악구 신사동,37.4856907,126.9186591,hybrid,183
0,관악구 신림동,37.4631968,126.9358124,hybrid,196
0,관악구 난향동,37.4619905,126.918499,hybrid,284
0,관악구 조원동,37.4828434,126.9076697,hybrid,217
0,관악구 대학동,37.4590852,126.9442144,hybrid,248
0,관악구 삼성동,37.4649272,126.9305249,hybrid,250
0,관악구 미성동,37.4760244,126.9159893,hybrid,382
0,관악구 난곡동,37.4708571,126.9212957,hybrid,256
0,서초구 서초1동,37.4878193,127.0195913,hybrid,991
0,서초구 서초2동,37.4895072,127.0279562,hybrid,778
0,서초구 서초3동,37.4861999,127.0095609,hybrid,1046
0,서초구 서초4동,37.4989536,127.0199725,hybrid,1052
0,서초구 잠원동,37.5151065,127.0137779,hybrid,762
0,서초구 반포본동,37.5039744,127.0007494,hybrid,85
0,서초구 반포1동,37.5057354,127.0168253,hybrid,899
0,서초구 반포2동,37.5046056,126.9952655,hybrid,502
0,서초구 반포3동,37.5104452,127.0066823,hybrid,688
0,서초구 반포4동,37.4996287,127.0024768,hybrid,525
0,서초구 방배본동,37.4794939,126.9931207,hybrid,525
0,서초구 방배1동,37.4848642,126.9961215,hybrid,487
0,서초구 방배2동,37.4748879,126.9880929,hybrid,357
0,서초구 방배3동,37.4760061,126.9961955,hybrid,573
0,서초구 방배4동,37.489857,126.990266,hybrid,582
0,서초구 양재1동,37.4708601,127.0270047,hybrid,1474
0,서초구 양재2동,37.45892,127.0469555,hybrid,651
0,서초구 내곡동,37.4550628,127.0695079,hybrid,487
0,강남구 신사동,37.5235332,127.0230659,hybrid,533
0,강남구 논현1동,37.512941,127.0265074,hybrid,534
0,강남구 논현2동,37.515162,127.0362055,hybrid,542
0,강남구 압구정동,37.5271478,127.0334517,hybrid,1067
0,강남구 청담동,37.5233931,127.0479736,hybrid,812
0,강남구 삼성1동,37.5144266,127.0586503,hybrid,510
0,강남구 삼성2동,37.5116021,127.0492348,hybrid,838
0,강남구 대치1동,37.4940958,127.0587012,hybrid,1330
0,강남구 대치2동,37.5010662,127.0651252,hybrid,1147
0,강남구 대치4동,37.5018725,127.0551518,hybrid,736
