,dong,Latitude,Longitude,fuel,num
0,양천구 신정4동,37.5253587,126.8576622,electric,75
0,양천구 신정6동,37.5163823,126.8696629,electric,107
0,양천구 신정7동,37.510422,126.8648713,electric,78
0,강서구 염창동,37.5527315,126.8707482,electric,200
0,강서구 등촌1동,37.5558118,126.8588981,electric,122
0,강서구 등촌2동,37.5455631,126.8621759,electric,57
0,강서구 등촌3동,37.5457853,126.8574547,electric,92
0,강서구 화곡1동,37.5339049,126.840775,electric,127
0,강서구 화곡2동,37.5317869,126.8544548,electric,41
0,강서구 화곡3동,,,electric,50
0,강서구 화곡4동,37.534564,126.860704,electric,47
0,강서구 화곡본동,37.5424076,126.8478197,electric,63
0,강서구 화곡6동,37.5517566,126.8500658,electric,84
0,강서구 화곡8동,37.541913,126.840023,electric,65
0,강서구 가양1동,37.5601758,126.8356925,electric,688
0,강서구 가양2동,37.5673658,126.8512874,electric,35
0,강서구 가양3동,37.5603668,126.8595091,electric,95
0,강서구 발산1동,37.5530894,126.8331507,electric,242
0,강서구 우장산동,37.5506026,126.84121,electric,131
0,강서구 공항동,37.5542807,126.7970146,electric,245
0,강서구 방화1동,37.5703967,126.8168004,electric,189
0,강서구 방화2동,,,electric,225
0,강서구 방화3동,37.578697,126.8135408,electric,69
0,구로구 신도림동,37.5099675,126.8822494,electric,122
0,구로구 구로1동,37.4911533,126.8751484,electric,1856
0,구로구 구로2동,37.4906813,126.8832031,electric,203
0,구로구 구로3동,37.4857376,126.8933134,electric,173
0,구로구 구로4동,37.4912855,126.8896338,electric,1871
0,구로구 구로5동,37.5019652,126.8878603,electric,163
0,구로구 가리봉동,37.4826987,126.888039,electric,11
0,구로구 고척1동,37.5007315,126.863272,electric,98
0,구로구 고척2동,37.501741,126.8507277,electric,71
0,구로구 개봉1동,37.500167,126.8510677,electric,136
0,구로구 개봉2동,37.4922632,126.8557315,electric,72
0,구로구 개봉3동,37.4862822,126.8530035,electric,27
0,구로구 오류1동,37.4969319,126.8413087,electric,67
0,구로구 오류2동,37.4907638,126.8408739,electric,129
0,구로구 수궁동,37.4972347,126.8267526,electric,64
0,구로구 항동,37.4810886,126.8236073,electric,98
0,금천구 가산동,37.4766861,126.8837772,electric,280
0,금천구 독산1동,37.470184,126.8970357,electric,212
0,금천구 독산2동,37.4637022,126.9022592,electric,38
0,금천구 독산3동,37.4759326,126.9045313,electric,62
0,금천구 독산4동,37.467366,126.901941,electric,33
0,금천구 시흥1동,37.4535473,126.90323,electric,161
0,금천구 시흥2동,37.449608,126.914405,electric,78
0,금천구 시흥3동,37.440274,126.9048714,electric,53
0,금천구 시흥4동,37.4595713,126.9085718,electric,47
0,금천구 시흥5동,37.4499367,126.9072019,electric,69
0,영등포구 영등포본동,37.5133944,126.9087206,electric,73
0,영등포구 영등포동,37.5137832,126.9069186,electric,160
0,영등포구 여의동,37.5258796,126.9269198,electric,734
0,영등포구 당산1동,37.5249503,126.8973399,electric,119
0,영등포구 당산2동,37.5310368,126.8974759,electric,160
0,영등포구 도림동,37.5095782,126.9017319,electric,63
0,영등포구 문래동,37.516637,126.891505,electric,155
0,영등포구 양평1동,37.5247784,126.8877006,electric,76
0,영등포구 양평2동,37.5363881,126.8940365,electric,147
0,영등포구 신길1동,37.5112627,126.9180603,electric,52
0,영등포구 신길3동,37.5063744,126.9062327,electric,36
0,영등포구 신길4동,37.5144018,126.9226321,electric,45
0,영등포구 신길5동,37.5016093,126.9052605,electric,44
0,영등포구 신길6동,37.5148885,126.9215624,electric,47
0,영등포구 신길7동,37.5063467,126.921449,electric,92
0,영등포구 대림1동,37.4915426,126.8998126,electric,58
0,영등포구 대림2동,37.4954266,126.9001326,electric,26
0,영등포구 대림3동,37.4954266,126.9001326,electric,95
0,동작구 노량진1동,37.5078229,126.947221,electric,112
0,동작구 노량진2동,37.5080413,126.9390861,electric,25
0,동작구 상도1동,37.5032626,126.9506566,electric,155
0,동작구 상도2동,37.5062428,126.9409346,electric,101
0,동작구 상도3동,37.49907,126.9313649,electric,56
0,동작구 상도4동,37.4987343,126.9440592,electric,76
0,동작구 흑석동,37.5055033,126.962349,electric,100
0,동작구 사당1동,37.4798074,126.9772568,electric,63
0,동작구 사당2동,37.4798074,126.9772568,electric,83
0,동작구 사당3동,37.4899885,126.9708057,electric,75
0,동작구 사당4동,37.4809275,126.9715979,electric,40
0,동작구 사당5동,,,electric,44
0,동작구 대방동,37.5060736,126.9281015,electric,105
0,동작구 신대방1동,37.4896292,126.9097179,electric,89
0,동작구 신대방2동,37.4984106,126.9245329,electric,79
0,관악구 보라매동,37.4902606,126.9323271,electric,96
0,관악구 청림동,37.4892764,126.9590257,electric,40
0,관악구 성현동,37.4893309,126.951059,electric,90
0,관악구 행운동,37.4810602,126.9608566,electric,62
0,관악구 낙성대동,37.4741601,126.9581815,electric,65
0,관악구 청룡동,37.478819,126.9454901,electric,145
0,관악구 은천동,37.4865145,126.941524,electric,88
0,관악구 중앙동,37.483979,126.9505182,electric,29
0,관악구 인헌동,37.4725495,126.9662287,electric,60
0,관악구 남현동,37.4641016,126.9777609,electric,42
0,관악구 서원동,37.480314,126.9333544,electric,61
0,관악구 신원동,37.4796847,126.9268568,electric,27
0,관악구 서림동,37.4736271,126.9388285,electric,60
0,관악구 신사동,37.4856907,126.9186591,electric,35
0,관악구 신림동,37.4631968,126.9358124,electric,49
0,관악구 난향동,37.4619905,126.918499,electric,57
0,관악구 조원동,37.4828434,126.9076697,electric,62
0,관악구 대학동,37.4590852,126.9442144,electric,116
0,관악구 삼성동,37.4649272,126.9305249,electric,50
